XID,RERA,Project Name,Location City,Location State, Location Locality
r41958,P51900005771,Aurum Arts,Mumbai,Maharashtra,Worli
r439006,TN/35/BUILDING/0057/2024,Ashiana Swarang,Chennai,Tamil Nadu,ECR
r438412,PRM/KA/RERA/1251/308/PR/111124/007220,Signature Heights,Bangalore,Karnataka,Electronic City
r438709,PRM/KA/RERA/1251/310/PR/241224/007314,Raki Amaryllis,Bangalore,Karnataka,Begur Road
r399160,PRM/KA/RERA/1251/310/PR/220922/005266,Mahaveer Highlands,Bangalore,Karnataka,Kengeri
r401160,TN/29/Layout/9280/2022,DAC Silicon Valley Phase 2,Chennai,Tamil Nadu,Navalur
r439993,PRM/KA/RERA/1251/472/PR/180225/007515,Prayuktha PM Garden,Bangalore,Karnataka,Yelahanka
r330671,P51700020644,Seasons Sahara,Mumbai,Maharashtra,Kalyan East
r390427,PCGRERA070522001417,Humming Sanjeeva,Raipur,Chattisgarh,Kachna
r4746,P52100000240,Naiknavare Dwarka,Pune,Maharashtra,Chakan
r415451,PR/GJ/VADODARA/VADODARA/Others/MAA12231/310823,Sharnam Skyline,Vadodara,Gujarat,Manjalpur
r433361,TN/35/Layout/0204/2025,Ruby Signature City,Chennai,Tamil Nadu,Selaiyur
r440623,,Mayon Subiksham Grande,Coimbatore,Tamil Nadu,Kovilpalayam
r438817,,Karthick Chera Chola Pandya,Chennai,Tamil Nadu,Kundrathur
r441249,,KHB Surya City Phase 4,Bangalore,Karnataka,Jigani
r415952,PR/GJ/VADODARA/VADODARA/VadodaraMunicipalCorporation/RN246AA10146/A1M/070723,Shree Siddheshwar Happylife,Vadodara,Gujarat,Manjalpur
r422096,,Maa Katyayani Homes,Delhi NCR,India,Chattarpur
r423398,P51700054273,SaptaShree Galicia,Mumbai,Maharashtra,Kolshet
r439943,RERAP06082024131143-1,Sunanda Enclave,Patna,Bihar,Saguna More
r440677,P52100079077,Mayfair River Residences,Pune,Maharashtra,Mundhwa
r380334,WBRERA/P/SOU/2023/000306,Merlin Oikyo,Kolkata,West Bengal,Baruipur
r441305,,Shree Balaji Garden,Delhi NCR,Uttar Pradesh,Sector 16 B
r428934,PRM/KA/RERA/1268/378/PR/210524/006916,Saha Meadows,Mysore,Karnataka,Yandahalli
r439253,,SreeReddy Ihitha,Bangalore,Karnataka,Marathahalli
r402726,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11130/030123,Sattvam Icon,Ahmedabad,Gujarat,Vatva
r430826,WBRERA/P/HOO/2024/001787,Shriram Symphony,Kolkata,West Bengal,Uttarpara
r383654,P01100003619,The Promenade Villas,Hyderabad,Telangana,Tellapur
r437888,RC/REP/HARERA/GGM/902/634/2025/05,Elan The Emperor,Delhi NCR,Haryana,Sector 106
r262174,P-BPL-17-626,Green Meadows,Bhopal,Madhya Pradesh,Bhojpur Road
r418564,WBRERA/P/HOW/2023/000749,Prarthana,Kolkata,West Bengal,Shibpur
r436680,UPRERAPRJ572873/11/2024,Aditya The Kutumb,Delhi NCR,Uttar Pradesh,Shahpur Bamheta
r418865,P51800053382,49 Simandhar Royale,Mumbai,Maharashtra,Chembur
r440009,,SSR Kadthal Smart City,Hyderabad,Telangana,Srisailam Highway
r439039,GGM/914/646/2025/17,Birla Arika,Delhi NCR,Haryana,Sector 31
r440610,P01100009317,Mahidhara Springs,Hyderabad,Telangana,Chintalcheru
r440257,PRM/KA/RERA/1251/446/PR/301024/007191,Jagadhabi Premier 1 ,Bangalore,Karnataka,Whitefield
r368997,,Pathos Gangotri Heritage,Varanasi,Uttar Pradesh,Mohansarai
r440931,RAJ/P/2025/3577,Shubhashish Marina,Jaipur,Rajasthan,Jagatpura
r428702,,Urban Tree Excellence,Chennai,Tamil Nadu,Manapakkam
r440943,PRM/KA/RERA/1251/472/PR/100325/007564,L and T Elara Celestia,Bangalore,Karnataka,Yelahanka
r439000,P52100078268,TruSpace Platina,Pune,Maharashtra,Balewadi
r398777,P02200005028,ARR Avencia,Hyderabad,Telangana,Bachupally
r330153,HIRA/P/JAL/2019/000478,Sree Balaji Panthaniwas,Jalpaiguri,West Bengal,Dooars
r440668,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA14616/311224/300627,Shyam Kameshwar Heights,Ahmedabad,Gujarat,Ambawadi
r387268,,Neb Sarai Builder Floors,Delhi NCR,India,Neb Sarai
r440925,PRGO10242331,Harbour Heights,North Goa,Goa,Calangute
r439468,PRM/KA/RERA/1250/304/PR/290125/007454,Sowparnika Rhythm of Rain,Bangalore,Karnataka,Whitefield
r439504,PRM/KA/RERA/1254/460/PR/280325/007638,Fortune One Vistaa,Bangalore,Karnataka,Devanahalli
r418370,P02200007156,V4 IRA Towers,Hyderabad,Telangana,Nizampet
r440144,,Capital Homes,Surat,Gujarat,Masma
r441241,,Sudarshan Paradise,Pune,Maharashtra,Pimpri Chinchwad
r397831,UPRERAPRJ692448,Passion Royal Cottage,Kanpur,Uttar Pradesh,Mainawati Marg
r440120,,Shivam Bunglows,Navsari,Gujarat,Jamalpore
r434882,P51700077356,Lodha Hanging Gardens,Mumbai,Maharashtra,Dombivli East
r385318,P02400003860,Sterling Eutopia,Hyderabad,Telangana,Maheshwaram
r387272,,Paryavaran Complex Floors,Delhi NCR,India,Paryavaran Complex
r352985,P51700026430,A H Sapphire,Mumbai,Maharashtra,Mira Road
r421781,TN/29/Building/0499/2023,Deccan Kalpavriksha,Chennai,Tamil Nadu,Sholinganallur
r38004,P52100056199 ,Riddhi Zoa,Pune,Maharashtra,Mundhwa
r440702,,Dev Housing Apartment,Chennai,Tamil Nadu,Perumbakkam
r436753,WBRERA/P/NOR/2024/002167,Prabha Anahita,Kolkata,West Bengal,Bara Nagar
r210069,RAJ/P/2018/707,Lavanya Homes,Jaipur,Rajasthan,Ajmer Road
r435934,HRERA-PKL-PKL-632-2024,Luxestates The Sky Heights,Panchkula,Haryana,Sector 24
r393185,RAJ/P/2022/2012 ,Ashiana Advik,Bhiwadi,Rajasthan,Alwar Bypass Road
r408295,P52100049906,SK Ankur,Pune,Maharashtra,Erandwane
r423588,,Kavya Shrushti Estate,Mumbai,Maharashtra,Kasheli
r407579,PRGO01231836,Fomento Varca Palms Villas and Apartments,South Goa,Goa,Varca
r423231,UPRERAPRJ923240/02/2024,Roma Entertainment City,Varanasi,Uttar Pradesh,Chitaipur
r433203,PBRERA-SAS79-PR1057,Atlantis Heights,Mohali,Punjab,Zirakpur
r415452,PR/GJ/VADODARA/VADODARA/Others/MAA12247/010923,Shree Siddheshwar Helenium,Vadodara,Gujarat,Chhani
r441143,,IGN The Grove,Bangalore,Karnataka,Kasturi Nagar
r430314,RAJ/P/2024/3166,Floresta,Jaipur,Rajasthan,Mansarovar
r439003,UPRERAPRJ804196/12/2024,Aurum Alumni Accord,Delhi NCR,Uttar Pradesh,Sector 25 Yeida
r437735,TN/29/Building/0608/2024,CK Enclave,Chennai,Tamil Nadu,Sithalapakkam
r403967,P99000048699,Ditya Luxuria,Mumbai,Maharashtra,Vasai East
r439017,,Sunshine Galaxy,Nagpur,Maharashtra,Dabha
r403839,WBRERA/P/KOL/2023/000199,The Royal Ganges,Kolkata,West Bengal,Maheshtala
r439008,,Endeavour Emerald,Bangalore,Karnataka,Electronics City Phase 1
r424756,P52100055014,Global Inspira,Pune,Maharashtra,Hinjewadi Phase 2
r378241,,Investors Vision Floors,Delhi NCR,Uttar Pradesh,Indirapuram
r382994,,Findahouse Grandeur Vasant Vihar floors,Delhi NCR,India,Vasant Vihar
r376612,,Bhardwaj Builder Floors,Delhi NCR,India,Model Town
r205817,,DDA Pocket SG,Delhi NCR,India,Dilshad Garden
r97984,,Pudota Diamond Hills Colony,Hyderabad,Telangana,Manikonda
r136927,,DDA MIG Flats,Delhi NCR,India,Shahdara
r137275,,RWA Saket Block J,Delhi NCR,India,Saket
r186431,,Neelsidhi Splendour,Mumbai,Maharashtra,Sector 15 Belapur
r435888,,S Realty Silver leaf Castle,Chennai,Tamil Nadu,Kundrathur
r207087,,Ek Siddhi CHS,Mumbai,Maharashtra,Hans Nagar
r227975,,Radhey Heights,Agra,Uttar Pradesh,Paschim Puri
r190625,,Park View,Mumbai,Maharashtra,Bandra West
r29496,,DDA Bharat Vandana Apartments,Delhi NCR,India,Sector 19 Dwarka
r108859,,Saumya AantarKshitij,Ahmedabad,Gujarat,SG Highway
r245135,,DDA Karuna Kunj,Delhi NCR,India,Sector 3 Dwarka
r222987,,Gauri Janaki,Mumbai,Maharashtra,Sector 21 Ulwe
r242517,,Eco Swastik Park,Mumbai,Maharashtra,Sector 21 Kamothe
r137421,,Apex Kala Vihar CGHS,Delhi NCR,India,Mayur Vihar Phase 1
r96166,,Progressive Pearl,Mumbai,Maharashtra,Sector 4A Kopar Khairane
r81168,,Hollywood Town,Bangalore,Karnataka,Devanahalli
r195493,,Basil Tower,Mumbai,Maharashtra,Sector 21 Kamothe
r57416,,Bhoomi Heights,Mumbai,Maharashtra,Borivali West
r227567,,Shanti Kunj,Delhi NCR,Haryana,Sohna
r26250,,Aastha Apartments,Delhi NCR,India,Sector 6 Dwarka
r120757,,Kavi Nazrul Metro,Kolkata,West Bengal,Garia
r177711,,RWA Chanderpriya Apartments,Delhi NCR,India,Sector 8 Rohini
r31740,,Suman Dabas Jitendra Tower,Mumbai,Maharashtra,Sector 18 Kharghar
r82565,,Kshitij Apartment,Mumbai,Maharashtra,Palm Beach
r100293,,Garve Amora Homes,Pune,Maharashtra,Wakad
r3334,,Shwas Homes Aquacity,Kochi,Kerala,Aluva
r341093,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06073/210919,Radhe Elegance,Ahmedabad,Gujarat,Hathijan
r137177,,RWA Block D2A,Delhi NCR,India,Janakpuri
r54116,,Sarve Satyam Apartments,Delhi NCR,India,Sector 4 Dwarka
r58250,,Vasundhara Heights,Mumbai,Maharashtra,Sanpada
r92535,,Willadel Apartment,Mumbai,Maharashtra,Bandra West
r252037,,Dil Bahar,Mumbai,Maharashtra,Sector 29 Vashi
r251357,,Hiranandani Jasper,Mumbai,Maharashtra,Hiranandani Estate
r12434,,Redwoods Apartments,Mumbai,Maharashtra,Mulund West
r180401,,Sahara Samatva Bunglow,Ahmedabad,Gujarat,Bopal
r65658,,Pavani Palazzo,Hyderabad,Telangana,Banjara hills
r80450,,Kamala Rose Queen,Mumbai,Maharashtra,Khar West
r86517,,Ekta Exotique,Mumbai,Maharashtra,Chembur
r91679,,Saket Harmony,Delhi NCR,India,Saket
r107729,,Ricon City,Indore,Madhya Pradesh,Khandwa Road 
r254891,,Chandigarh Housing Board MIG Flats,Mohali,Punjab,Sector 61
r244483,,Poonam Park,Ahmedabad,Gujarat,Maninagar
r99104,,Anu Celebria Apartment,Pune,Maharashtra,Hadapsar
r137169,,RWA Kalkaji Block E,Delhi NCR,India,Kalkaji
r137801,,RWA Block B1 Paschim Vihar,Delhi NCR,India,B1 Block Paschim Vihar 
r236770,,Chauhan Apartments,Delhi NCR,Uttar Pradesh,Sector 104
r173033,,Dheeraj Enclave,Mumbai,Maharashtra,Thakur Village
r31398,,Hiranandani Bianca Tower,Mumbai,Maharashtra,Versova
r183929,,Ekta Heritage,Mumbai,Maharashtra,Vithaldas Nagar
r268591,,DLF City Plots Phase 3,Delhi NCR,Haryana,DLF Phase 3
r25378,,BPTP Park Central,Delhi NCR,Haryana,Sector 85
r376276,,Premium Luxury Homes by Vastu Construction,Delhi NCR,India,Sector 12 Dwarka
r71877,,Siddharth Bungalows,Vadodara,Gujarat,Sama Savli Road
r57414,,Beverly Park,Mumbai,Maharashtra,Nerul
r429870,,RPS Luxurious Floors,Delhi NCR,India,Vikas Puri
r436988,P52100077837,Fortune Kusum CHSL,Pune,Maharashtra,Shivaji Nagar
r438815,,Jai Maa Durga Residency,Mumbai,Maharashtra,Kalher
r441251,,Lavish Floors By Surya Homes,Delhi NCR,0,Sector 8 Dwarka
r441273,,Malo Armonique,Chennai,Tamil Nadu,Thoraipakkam
r439292,,Unique Premium Builder Floors,Delhi NCR,Uttar Pradesh,Indirapuram
r374915,,Smart Homes GK 1,Delhi NCR,India,Greater Kailash 1
r440674,,Nirman Homes,Delhi NCR,0,Rajpur Khurd
r439155,,Buildtech Malars Lotus Grand,Pondicherry,0,Rainbow Nagar
r435420,WBRERA/P/NOR/2024/002080,Value Homes Bioscope,Kolkata,West Bengal,New Town
r348181,,Sky High Luxury Homes,Delhi NCR,India,Sector 8 Dwarka
r403467,WBRERA/P/SOU/2023/000690,Ganguly 4Sight Desire,Kolkata,West Bengal,Garia
r438802,,Castle Surya Niketan,Delhi NCR,Uttar Pradesh,Sector 150
r440652,,RR Olivia,Coimbatore,Tamil Nadu,Sulur
r397639,TN/11/Layout/6935/2022,Eeshanya Tropique,Coimbatore,Tamil Nadu,Saravanampatti
r371979,,Findahouse Grandeur Builder Floors GK 1,Delhi NCR,India,Greater Kailash 1
r419979,P52100053769,Madhvachhaya Apartments,Pune,Maharashtra,Shivaji Nagar
r439303,,Capital 107,Delhi NCR,Uttar Pradesh,Sector 107
r435102,PM1260002400079,Fortune Yashodhan CHS,Pune,Maharashtra,Deccan Gymkhana
r440955,,Thulasi Residency,Chennai,Tamil Nadu,Adambakkam
r422096,,Maa Katyayani Homes,Delhi NCR,India,Chattarpur
r387268,,Neb Sarai Builder Floors,Delhi NCR,India,Neb Sarai
r437735,TN/29/Building/0608/2024,CK Enclave,Chennai,Tamil Nadu,Sithalapakkam
r430049,P51800076840,Sumit KMR Param,Mumbai,Maharashtra,Borivali West
r327,,Vasant Designer Floors,Delhi NCR,India,Vasant Vihar
r351375,P51800024276,Shudhanshu Aniraj Tower Chs,Mumbai,Maharashtra,Bhandup West
r405807,P51800049161,Regent Jeevan Tara CHS LTD,Mumbai,Maharashtra,Vile Parle East
r279191,UPRERAPRJ5789,Ganpati Smart City,Agra,Uttar Pradesh,Sikandra
r430484,PBRERA-SAS80-PR0985,Motia Sunrise Avenue,Mohali,Punjab,Kurali
r26266,,Naveen Apartment,Delhi NCR,India,Sector 5 Dwarka
r32904,,Prerna Society,Delhi NCR,Haryana,Sector 56
r64208,,Rail Vihar CGHS,Delhi NCR,Haryana,Sector 56
r433657,,99 Shivdhara Residency,Lucknow,Uttar Pradesh,Raebareli Road
r432978,,City Square,Coimbatore,Tamil Nadu,Saravanampatti
r20578,,Hiranandani Lake Castle,Mumbai,Maharashtra,Hiranandani Gardens Powai
r351377,P51800024328,TruEarth Views,Mumbai,Maharashtra,Vikhroli East
r26666,,ATFL Jal Vayu Thal Sena Garden,Delhi NCR,India,Chattarpur Extension
r28470,,Kalpataru Regency,Pune,Maharashtra,Kalyani Nagar
r419298,TN/11/Layout/4262/2023,Indhira Nagar,Coimbatore,Tamil Nadu,Appanaickenpatti
r435714,P51700077178,Kolte La Vita,Mumbai,Maharashtra,Vashi
r370260,,Urbandoor Eden Garden,Lucknow,Uttar Pradesh,Faizabad Road
r64159,,HMM Employees Apartments,Delhi NCR,India,Sector 10 Dwarka
r428092,TN/35/Layout/1858/2024,KPN Omega Town 1,Chennai,Tamil Nadu,Guduvancheri
r7242,,EGB Shantham,Chennai,Tamil Nadu,Thoraipakkam
r46014,,Nyati Ambience,Pune,Maharashtra,Mohammed Wadi
r27472,,Royal Towers,Delhi NCR,Uttar Pradesh,Sector 61
r43506,,Palash FGH,Pune,Maharashtra,Shankar Kalat Nagar
r440090,P51700078452,Alliaance The View,Mumbai,Maharashtra,Ghansoli
r389494,P52100034523,Vilas Yashwin NuovoCentro,Pune,Maharashtra,Wakad
r422716,TN/11/Layout/0417/2024,Anandaya Garden,Coimbatore,Tamil Nadu,Pannimadai
r30218,,Naiknavare Trinity Court,Pune,Maharashtra,Koregaon Park
r433347,,Investland Ranjanpada Plots,Mumbai,Maharashtra,Ranjanpada
r421419,P52000052516,Greenpath Anant Serene Park,Mumbai,Maharashtra,Panvel
r286081,P52000010516,Bankers Tower Chs,Mumbai,Maharashtra,Sector 18 Ulwe
r398774,P02200004949,Garuda Grandeur,Hyderabad,Telangana,Bowrampet
r418190,P52000053304,Siddharth Geetanjali Daffodils,Mumbai,Maharashtra,Taloja Phase 1
r423302,TN/02/Layout/0516/2024,Sri Varagi Residency,Chennai,Tamil Nadu,Minjur
r422863,P52000054565,Matrix Landmark,Mumbai,Maharashtra,Pushpak Nagar
r20170,,Prajapati Gaurav,Mumbai,Maharashtra,Sector 2 Kharghar
r428495,P50500056272,Nisarg Bhumi 2,Nagpur,Maharashtra,Jamtha
r428368,P52000056180,Century Tower,Mumbai,Maharashtra,Ulwe
r112937,P52100000609,G K Dwarka Sai Wonder,Pune,Maharashtra,Pimple Saudagar
r295333,P52000010288,Sai Regency,Mumbai,Maharashtra,Sector 15 Kamothe
r335359,TN/11/Layout/4530/2022 dated 08/06/2022,Kumaran Garden Phase 2,Coimbatore,Tamil Nadu,Thudiyalur 
r386360,,Shree Laxmi Eternity,Mumbai,Maharashtra,Jawahar Nagar
r427091,TN/1/Layout/1898/2024,G R Township,Chennai,Tamil Nadu,Gerugambakkam
r437174,P52100078181,Choice Goodwill Elements,Pune,Maharashtra,Lohegaon
r440673,,Star Springfield,Coimbatore,Tamil Nadu,Madukkarai
r12990,,Hiranandani Flora CHS,Mumbai,Maharashtra,Hiranandani Estate
r26146,,Vimal CGHS,Delhi NCR,India,Sector 12 Dwarka
r64300,,Dhawalgiri Apartments,Delhi NCR,Uttar Pradesh,Sector 34
r77703,,VGP Uthandi,Chennai,Tamil Nadu,Uthandi
r257255,P52100011278,Suvira Nest,Pune,Maharashtra,Dighi
r403710,BRERAP33637-1/195/R-1503/2022,RR Meadow View,Patna,Bihar,Danapur
r431308,TN/1/Regularisation-Layout/0598/2024,Selvi Green City,Chennai,Tamil Nadu,Thiruporur
r13568,,Karia Konark Nagar,Pune,Maharashtra,Viman Nagar
r434001,,Dholera Aero City By Vishall Landbase,Ahmedabad,Gujarat,Dholera
r12722,,Gulmohar Apartments,Delhi NCR,India,Sector 11 Dwarka
r91179,,Dwarka Maitri Apartments,Delhi NCR,India,Sector 10 Dwarka
r440676,TNRERA/PLF/2442/2025,Annalakshmi Kuberan Nagar,Chennai,Tamil Nadu,Red Hills
r162835,,Enkay Classic,Mumbai,Maharashtra,Ulwe
r428361,P51800056048,Sahakar Vogue77,Mumbai,Maharashtra,Goregaon West
r81498,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00551/271017,AVS Corporation Satva Homes,Ahmedabad,Gujarat,New Ranip
r412103,TN/29/Building/0249/2023,Jayavel Altius,Chennai,Tamil Nadu,Anna Nagar
r336163,P-IND-19-2275,IMC Palash Parisar,Indore,Madhya Pradesh,Rau
r433277,,Investland Uran Plots,Mumbai,Maharashtra,Uran
r417101,P51800053078,Bhairav Ocean Breeze,Mumbai,Maharashtra,Charkop
r380404,,P and K Land Max Avenue,Coimbatore,Tamil Nadu,Saravanampatti
r374157,,Rupbasuda Green Plaza,Kolkata,West Bengal,Joka
r64145,,Progressive Crown,Mumbai,Maharashtra,Kopar Khairane
r112193,,Keltech Golf Greens,Delhi NCR,Uttar Pradesh,Crossing Republik
r58030,,Sea Breeze Tower,Mumbai,Maharashtra,Sector 16A Nerul
r19672,,Pushpa Bhavan,Mumbai,Maharashtra,Colaba
r26498,,Jai Maa Apartment,Delhi NCR,India,Sector 5 Dwarka
r426809,P51700055622,Shreeji Dios,Mumbai,Maharashtra,Sector 21 Nerul
r287065,P99000010053,Lakozy Anchor Park,Mumbai,Maharashtra,Vasai East
r440655,TN/29/Building/325/2023,JBS,Chennai,Tamil Nadu,Porur
r433978,P51800076596,Excel Bellissima,Mumbai,Maharashtra,Bandra West
r384515,"P-IND-18-1768
",Kalyanlok Phase 1,Indore,Madhya Pradesh,Gandhi Nagar
r389479,P52100034429,Jagdish Kulkarni Wada,Pune,Maharashtra,Sadashiv Peth
r440928,TN/29/Building/0065/2025,KCS Golden Lotus,Chennai,Tamil Nadu,Sholinganallur
r422460,TN/16/Layout/0656/2024,Royal Radiant,Trichy,Tamil Nadu,Uyyakondan Thirumalai
r409035,,Faridabad Luxury Builder Floors,Delhi NCR,Haryana,Greenfield Colony
r438260,,K S Luxury Homes,Delhi NCR,India,Greater Kailash 2
r439548,PRM/KA/RERA/1250/301/PR/220125/007411,Make Borough,Bangalore,Karnataka,Doddaballapur
r439681,,SRK Sree City,Vijayawada,Andhra Pradesh,Kankipadu
r434938,P52100066493,Fortune Prashanti CHSL,Pune,Maharashtra,Prabhat Road
r297193,P-BRS-17-1173,Amritdhara Officers Town,Bhopal,Madhya Pradesh,Bhauri
r440000,,Gopal Builders Karni Enclave,Coimbatore,Tamil Nadu,Saravanampatti
r387289,,Freedom Fighter Floors,Delhi NCR,India,Freedom Fighter Enclave
r439297,,Golden Town,Coimbatore,Tamil Nadu,Karamadai
r400533,,Temple Town,Coimbatore,Tamil Nadu,Karamadai
